id,name,party,photoUrl,website
,Hanna Laine-Nousimaa,SDP,https://www.sdp.fi/app/uploads/sites/2/2025/06/laine_hanna_01-e1750147861540-640x640.jpg,
,Antti Lindtman,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/antti-lindtman-640x640.png,
,Aki Lindén,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/linden_aki-e1761210063395-640x640.jpg,
,Lauri Lyly,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/lyly_lauri-640x640.jpeg,
,Niina Malm,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/malm-niina-e1716184197934-640x640.jpg,
,Helena Marttila,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/marttila_helena-640x640.jpeg,
,Ville Merinen,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/ville-merinen-sdp-2-e1711823989970-640x609.jpg,
,Anna-Kristiina Mikkonen,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/mikkonen_anna-kristiina-640x640.jpeg,
,Matias Mäkynen,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/matias-makynen-640x640.jpg,
,Saku Nikkanen,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/nikkanen_saku-640x640.jpeg,
,Johanna Ojala-Niemelä,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/johanna-ojala-niemela.jpeg,
,Pinja Perholehto,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/pinja-perholehto-sdp-e1711823857992-640x717.jpg,
,Piritta Rantanen,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/piritta-rantanen.jpeg,
,Nasima Razmyar,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/razmyar_nasima-640x640.jpeg,
,Joona Räsänen,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/rasanen_joona-640x640.jpeg,
,Ville Skinnari,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/ville-skinnari-640x640.jpeg,
,Timo Suhonen,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/suhonen_timo-640x640.jpeg,
,Tytti Tuppurainen,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/tytti-tuppurainen_51746361223_o-e1760526308682-640x496.jpg,
,Juha Viitala,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/04/viitala_juha-640x640.jpeg,
,Pia Viitanen,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/pia-viitanen.jpeg,
,Tuula Väätäinen,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/tuula-v__t_inen_2025-640x768.jpg,
,Paula Werning,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/paula-werning.jpeg,
,Petri Honkonen,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Honkonen-Petri.jpg,
